no,jokae,gekae,pair,name,kikkyo,keyword,meaning
1,一,一,一一,坎為水,×,看病･困窮,忍耐の卦。あせって自分を見失わないことが大切です。
2,一,二,一二,水地比,〇,和合,人と親しむ卦。人と協力し合って良い結果が得られます。
3,一,三,一三,水雷屯,×,妊娠・求児,伸び悩むの時、性急に行動すると失敗します。
4,一,四,一四,水風井,×,—,不満があっても現状維持に努めれば安泰と時。
5,一,五,一五,×,×,×,×
6,一,六,一六,水天小需,△,長引く,希望があるが時間がかかります。待った方が良い。
7,一,七,一七,水沢節,×,渋滞,何事も節度を守って行動する時。過度にならないように。
8,一,八,一八,水山蹇,×,行き悩み,身動きが取れない時。実力者の助けが必要です。
9,一,九,一九,水火既済,△,完成した姿,現状の維持に努めること。油断に注意
10,二,一,二一,地水師,△,闘争,集団の争いの卦。人の先頭に立ち苦労する。協力者を求めよ。
11,二,二,二二,坤為地,〇,平和,従順の意味。地道な努力の積み重ねが成果を上げます。
12,二,三,二三,地雷復,〇,復活,復活の卦。
13,二,四,二四,地風升,〇,昇進・玉の輿,上昇の卦。運気は上昇しますが、時間がかかります。
14,二,五,二五,×,×,×,×
15,二,六,二六,地天泰,◎,安定,安泰・和合の卦。何事も順調に進みます。
16,二,七,二七,地沢臨,◎,希望,希望の卦。運気は上昇中。思い切って行動しましょう。
17,二,八,二八,地山謙,△,求男・浮気,謙虚の意味。何事も目立たずに控えめでいた方がいいでしょう。
18,二,九,二九,地火明夷,×,×,真夜中の卦。光が当たりません。日が昇るのを待ちましょう。
19,三,一,三一,雷水解,△,解消,悪い事が解消するが、良い事もご破算になってしまいます。
20,三,二,三二,雷地予,〇,準備,これまで準備してきた事が実って、喜び楽しむ卦。
21,三,三,三三,震為雷,△,急な驚き,雷鳴の卦。急な驚きごとがありますが実害ではありません。
22,三,四,三四,雷風恒,〇,安定,平穏の卦。油断は禁物、現状維持に努めること。
23,三,五,三五,×,×,×,×
24,三,六,三六,雷天大壮,◎,勢い,勢いが盛んな時。強気になるのは良いが過信しないこと。
25,三,七,三七,雷沢帰妹,×,離別,一時の感情に左右されやすい時。適切かどうかよく考えること。
26,三,八,三八,雷山小過,△,小さい事良い,小さい事は良いが大きい事は無理です。少し控えましょう。
27,三,九,三九,雷火豊,〇,盛運,豊か盛んな意味の卦。運気は盛運だが油断しないように。
28,四,一,四一,風水換,〇,悪縁解消・ロマンス,苦労から解放されるが、良かった事も散ってしまいます。
29,四,二,四二,風地観,△,縁作り,現状をよく観察して本質を探ること。自分を見つめ直す時です。
30,四,三,四三,風雷益,〇,公益,公益の卦。個人の利益よりも皆の利益を優先しましょう。
31,四,四,四四,巽為風,△,風邪,迷いが多い時。迷っているとチャンスは通り過ぎてしまいます。
32,四,五,四五,×,×,×,×
33,四,六,四六,風天小畜,〇,遅れ,少し止まる意味。予定が少し遅れてしまいます。
34,四,七,四七,風沢中孚,◎,仲直り・芸能人の人気,真心の卦。誠意をつくせば心が通じ合います。
35,四,八,四八,風山漸,◎,金運・結婚,徐々に前進する時。順序を守ることが大切です。
36,四,九,四九,風火家人,△,縁作り・金作り,家庭の卦。家庭を大事にしないと家庭問題が起きます。
37,五,一,五一,×,×,×,×
38,五,二,五二,×,×,×,×
39,五,三,五三,×,×,×,×
40,五,四,五四,×,×,×,×
41,五,五,五五,×,×,×,×
42,五,六,五六,×,×,×,×
43,五,七,五七,×,×,×,×
44,五,八,五八,×,×,×,×
45,五,九,五九,×,×,×,×
